#YEAR;RANKING;TEAM;POINTS;WIN;DRAW;LOSE;GOAL-BALANCE;GOALS-PRO;GOALS-AGAINST;MATCHES;PERFORMANCE-SCORE
2004;1;Santos/SP;89;27;8;11;45;103;58;46;64.50%
2004;2;Atlético/PR;86;25;11;10;37;93;56;46;62.30%
2004;3;São Paulo/SP;82;24;10;12;35;78;43;46;59.40%
2004;4;Palmeiras/SP;79;22;13;11;25;72;47;46;57.20%
2004;5;Corinthians/SP;74;20;14;12;0;54;54;46;53.60%
2004;6;Goiás/GO;72;21;9;16;13;81;68;46;52.20%
2004;7;Juventude/RS;70;20;10;16;-6;60;66;46;50.70%
2004;8;Internacional/RS;67;20;7;19;7;66;59;46;48.60%
2004;9;Fluminense/RJ;67;18;13;15;-3;65;68;46;48.60%
2004;10;Ponte Preta/SP;64;19;7;20;-30;43;73;46;46.40%
2004;11;Figueirense/SC;63;17;12;17;-2;57;59;46;45.70%
2004;12;Coritiba/PR;62;15;17;14;5;53;48;46;44.90%
2004;13;Cruzeiro/MG;56;16;8;22;-12;69;81;46;40.60%
2004;14;Paysandu/PA;56;14;14;18;-20;56;76;46;40.60%
2004;15;Paraná/PR;54;15;9;22;-21;52;73;46;39.10%
2004;16;Vasco/RJ;54;14;12;20;-4;64;68;46;39.10%
2004;17;Flamengo/RJ;54;13;15;18;-2;51;53;46;39.10%
2004;18;São Caetano/SP;53;23;8;15;16;65;49;46;38.40%
2004;19;Atlético/MG;53;12;17;17;-6;60;66;46;38.40%
2004;20;Botafogo/RJ;51;11;18;17;-9;62;71;46;37.00%
2004;21;Criciúma/SC;50;13;11;22;-17;61;78;46;36.20%
2004;22;Guarani/SP;49;11;16;19;-12;43;55;46;35.50%
2004;23;Vitória/BA;48;13;9;24;-19;68;87;46;34.80%
2004;24;Grêmio/RS;39;9;12;25;-20;60;80;46;28.30%
